text,label
i feel anguish for a family that was assaulted raped and systematically assassinated by u,4
i feel like my life has become rather dull it lacks excitement but i feel next year will be different,0
i am feeling completely useless lately,0
i feel so blessed and honoured to be sharing my knowledge on my two absolute favourite topics in this life,2
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,4
i then asked as i often do in these situations how i could fix this so she wouldnt feel like i hated her because of my lack of postings on her facebook page,0
i don t know if these children will fulfill their dreams but i am happy that they as sponsored children have a better chance of doing so and that instead of feeling hopeless they have a vision of something beyond their lives of poverty,0
i feel heartbroken but for some reason not strong enough to say i m finished with him,0
i feel the moment that i know im real they judge without supporting facts ive cut there is no going back,2
im feeling agitated and pour more brandy on my coffee,4
i feel fake sharing the joyful and creative pursuits of our family,0
i feel like this is like fake bogart said at one point in the show,0
i feel that my generosity is abused when you steal after visiting my home,0
i feel a lot of jaded fans are doing i m rating it based on what i ve seen heard and played,0
i mentioned in that post the colors are very pretty but they feel very uncomfortable on the eyes,4
i have not conducted a survey but it is quite likely that many of them feel as assaulted by onel s demons and other creators as i would have felt had the walls been covered only with eminent figures patriotic heroes and epic deeds,4
im just figuring these lyrics out myself so apologies if im slightly wrong but it just feels a bit fake,0
i start to feel frantic where are the candles the matches the one flashlight thats actually ashers bug light no fans in the house move beds outside boys in the bath dont touch the candles goodbye meat in the fridge,4
im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,4
i feel a little skeptical but what have i got to lose,4
im feeling overwhelmed i can just give people the middle finger or tell them to f off,4
i can feel is horrible that for someone somewhere theyve felt that bad and worse,0
i could have possibly forgotten that would make me feel as idiotic as last years whole forgot to pack shirts thing did,0
i remember feeling disheartened one day when we were studying a poem really dissecting it verse by verse stanza by stanza,0
i prove myself wrong here i am feeling ugly because i made no attempt to get out of my sleeping clothes oh and my eyebrows,0
i feel highly burdened and incapacitated by my stupid flaring legs,0
i appreciate not having to do it but it feels so strange to be sitting around not packing when a move is so close,4
im feeling a little gun shy about this,4
i begin feeling remorseful for not being more selfless and spreading the gospel,0
i just finished a long day of work and am feeling a bit sentimental and its been a few weeks so i thought id get on here and write a few words,0
i feel absolutely no longing for the patch of dirt which some dead stranger related to me by blood happened to have been birthed on,2
i remember watching it and feeling devastated because of the sheer familiarity of it all,0
ill be happy to take his money when ever he is feeling generous enough to part with it,2
i feel like im in such a strange place in life no one to take care of and no one who cares,4
i believe is based on greed has nothing to do with how i feel about my beloved country,2
i suggest you give it a listen i feel like i am blessed,2
i feel hopeless i cannot cope,0
