text,label
im feeling a little apprehensive about this party,4
i am a follower friendly blog so feel free to leave a comment so i know you have visited,1
i am not sure if we should buy more but my hubby and i are feeling pretty impressed,5
im assuming the inquisition er did not mean subspace but more of a state of feeling very submissive,0
i can look at a stack of twenty five term papers and not feel overwhelmed,5
i feel lonely i reach out and call my sister or my mom but neither one was available,0
i feel like a proud new mom with all this picture taking of heidi,1
i occasionally find myself feeling desiring the room and time to distill and slowly mull over consider and explore the rich complexities that surround the foggy notion that there is an objective definitive knowledge of tantric buddhism,1
i am not feeling horny im just letting baba see the emote,2
i feel extremely discontent right now,0
i remember in particular one new years day in high school when i was feeling all tragic and melancholy and generally fifteen year old girl ish,0
i feel so divine to be so cared for,1
i feel drained at least now i have something to look forward to,0
i remember a couple of years ago i was feeling romantic and dreamy and asked him wonder if we ll celebrate our th anniversary,2
i was feeling a little sentimental,0
i feel so bad to have slacked of on my health but now i need to make the time,0
i need to know what her thoughts and feelings are this is not a casual play anymore for me anyway,1
i thought i should be excited that im starting work but im feeling reluctant as ever,4
im feeling so irritable about todays class,3
i still feel so empty and lonely,0
i feel a little frantic because i know peoples will be leaving soon and just a little while ago i felt like i had hella time to waste and to hold off on things,4
imdoing good and its almost strange to feel carefree,1
i feel like im doing a hot yoga class with no benefits,2
i was curious why paying for two large sandwiches would make him feel respected,1
ive got a cough that is deep in my chest and overall i just feel terrible,0
i feel charming i feel whimsy,1
im feeling and i say useless and he says that fucker messed with your head,0
i feel that the director editor missed a teachable moment when tiphany makes her comments about it being nice to feel like everyone else,0
i will say that i am satisfied with my draw and feel that it is a perfect fit,1
i lost a close friend,0
i didnt feel that i was caught in a limbo between carefree and responsibility,1
im guessing with everyone standing there she was feeling timid about moving through the crowd again,4
im all about helping people integrate their feelings thoughts and actions through creative expression,1
i told omangy that i was feeling violent and i wasnt in a good mood,3
i feel nothing through long stretches of time im convinced nothing has worked,1
i feel assured thankk god,1
i am feeling strong and indulging in the strength of my body feeling good about what it can do and how it looks while its doing it,1
i feel as though my capacity to love others to show love to be loved and share it has grown dramatically,2
i believe even though at the time i didn t feel i should be hospitalized i m pretty sure it was a good thing i was,1
i feel extraordinarily clever,1
i feel very agitated just sitting here,4
i couldnt help but feel sincere gratitude for the blessings of the lord in my life and the lives of my children,1
i have been going around feeling like i have roundly abused my poor tongue so ravaged by hops has it become i think it is a challenge to think of taste as a really physical sensation,0
i do feel jealous sometimes especially when it comes to friends,3
i feel as if work that doesnt have a sort of depth to it isnt nearly as successful as work that is created with a meaning and leaves the viewer wanting to know more about the subject that the artist presented,1
i feel hate whoever that love me or caring towards me,2
